Código;Local/Unidade
01.01.0020.01.0006;MPF - MANAUS
01.01.0039.01.0001;MPF - PATOS
01.01.0039.01.0003;MPF - SOUSA
01.01.0070.01.0008;PRF - AGUA PRETA
01.01.0070.01.0006;PRF - CANIL
01.01.0070.01.0016;PRF - CARUARU
01.01.0070.01.0009;PRF - FLORESTA
01.01.0070.01.0015;PRF - GARANHUS
01.01.0070.01.0010;PRF - GRAVATA
01.01.0070.01.0005;PRF - HANGAR
01.01.0070.01.0011;PRF - IGARASSU
01.01.0070.01.0012;PRF - OURICURI
01.01.0070.01.0004;PRF - PETROLINA
01.01.0070.01.0013;PRF - RAJADA
01.01.0070.01.0001;PRF - RECIFE
01.01.0070.01.0003;PRF - SALGUEIRO
01.01.0070.01.0017;PRF - SANTA MARIA DA BOA VISTA
01.01.0070.01.0014;PRF - SÃO CAETANO
01.01.0070.01.0002;PRF - SERRA TALHADA
01.01.0070.01.0018;PRF - SERTANIA
01.01.0070.01.0019;PRF - TREVO DO IBO
01.01.0020;PROCURADORIA DA REPUBLICA - MANAUS
01.01.0039;PROCURADORIA DA REPUBLICA - PARAIBA
01.01.0041;RADIO TARUMA LTDA  - ACRITICA
01.01.0091;RESCISAO INDIRETA
01.01.0091.01.0001;RESCISÃO INDIRETA
01.01.0010;SECRETARIA DE ESTADO DE EDUCACAO E DESPORTO
01.01.0011;SECRETARIA DE ESTADO DE EDUCACAO E DESPORTO ESCOLA
01.01.0003;SECRETARIA DO ESTADO DE CULTURA SEC
01.01.0086;SECRETARIA MUNICIPAL DE HABITAÇÃO E ASSUNTOS FUNDIARIOS
01.01.0085;SECRETARIA MUNICIPAL DE SAUDE SEMSA
01.01.0011.01.0029;SEDUC - COORDENADORIA 1
01.01.0011.01.0026;SEDUC - COORDENADORIA 2
01.01.0011.01.0004;SEDUC - COORDENADORIA 3
01.01.0011.01.0014;SEDUC - COORDENADORIA 4
01.01.0011.01.0006;SEDUC - COORDENADORIA 6
01.01.0011.01.0009;SEDUC - COORDENADORIA 7
01.01.0011.01.0011;SEDUC - DEPOSITO ALIMENTAÇÃO
01.01.0011.01.0012;SEDUC - DEPOSITO TORQUATO
01.01.0011.01.0002;SEDUC - DEPOSITO V8
01.01.0011.01;SEDUC - ESCOLA
01.01.0011.02;SEDUC - INTERIOR
01.01.0010.01.0001;SEDUC - MANAUS
01.01.0010.01.0091;SEDUC - MANAUS - RESCISÃO INDIRETA
01.01.0010.01.0015;SEDUC ESCOLA - AMELIA BITTENCOURT
01.01.0011.01.0132;SEDUC ESCOLA - AMELIA BITTENCOURT
01.01.0011.01.0018;SEDUC ESCOLA - ANTONIO TELLES
01.01.0011.01.0017;SEDUC ESCOLA - AUGUSTO CARNEIRO
01.01.0011.01.0043;SEDUC ESCOLA - AUREA PINHEIRO
01.01.0011.01.0027;SEDUC ESCOLA - BALBINA MESTRINHO
01.01.0011.01.0031;SEDUC ESCOLA - CACILDA BRAULE
01.01.0011.01.0133;"SEDUC ESCOLA - CARVALHO LEAL
"
01.01.0010.01.0028;SEDUC ESCOLA - CARVALHO LEAL
01.01.0011.01.0050;SEDUC ESCOLA - CECILIA FERREIRA
01.01.0011.01.0047;SEDUC ESCOLA - CLEOMENES
01.01.0011.01.0005;SEDUC ESCOLA - CMPM V
01.01.0011.01.0034;SEDUC ESCOLA - COORDENADORIA 5
01.01.0011.01.0008;SEDUC ESCOLA - DARIANA ZULEICA
01.01.0010.01.0049;SEDUC ESCOLA - DEMOSTENES BELDUQUE
01.01.0011.01.0134;SEDUC ESCOLA - DEMOSTENES BELDUQUE
01.01.0011.01.0025;SEDUC ESCOLA - DIOFANTO VIEIRA
01.01.0011.01.0045;SEDUC ESCOLA - DJALMA BATISTA
01.01.0011.01.0127;SEDUC ESCOLA - E.E ANTONIO NUNES JIMENEZ
01.01.0011.01.0130;SEDUC ESCOLA - E.E. ROSINA F. DA SILVA
01.01.0011.01.0051;SEDUC ESCOLA - ELISA BESSA
01.01.0011.01.0137;SEDUC ESCOLA - ENCARREGADO
01.01.0011.01.0042;SEDUC ESCOLA - ERNANE NASCIMENTO
01.01.0011.01.0129;SEDUC ESCOLA - ESC ESTADUAL PADRE PEDRO GISLANDY
01.01.0011.01.0024;SEDUC ESCOLA - FRANCISCO ALBUQUERQUE
01.01.0011.01.0021;SEDUC ESCOLA - FREI SILVIO
01.01.0011.01.0010;SEDUC ESCOLA - GARCITYLZO
01.01.0011.01.0007;SEDUC ESCOLA - HOMERO DE MIRANDA LEÃO
01.01.0011.01.0040;SEDUC ESCOLA - IRMÃ GABRIELLE
01.01.0011.01.0041;SEDUC ESCOLA - IRMÃ GABRIELLE ANEXO
01.01.0011.01.0046;SEDUC ESCOLA - JAIRO DA SILVA
01.01.0011.01.0038;SEDUC ESCOLA - MANOEL RODRIGUES
01.01.0011.01.0039;SEDUC ESCOLA - MANUEL ANTONIO
01.01.0011.01.0013;SEDUC ESCOLA - MARIA AMELIA
01.01.0010.01.0033;SEDUC ESCOLA - MARIA ARMINDA
01.01.0011.01.0135;SEDUC ESCOLA - MARIA ARMINDA
01.01.0011.01.0037;SEDUC ESCOLA - MARIA MADALENA
01.01.0011.01.0035;SEDUC ESCOLA - MARIA TEIXEIRA GOES
01.01.0011.01.0022;SEDUC ESCOLA - MARQUES DE SANTA CRUZ
01.01.0011.01.0030;SEDUC ESCOLA - MAYARA REDMAN
01.01.0011.01.0019;SEDUC ESCOLA - PAULO FREIRE
01.01.0011.01.0128;SEDUC ESCOLA - PROF. JACIRA CABOCLO
01.01.0011.01.0032;SEDUC ESCOLA - REINALDO THOMPSON
01.01.0011.01.0091;SEDUC ESCOLA - RESCISÃO INDIRETA
